id,created_at,variant_id,path,bot_name,user_agent,method,status,latency_ms,meta
169,2026-03-31 12:58:40.673792+00,noscript,/test-noscript,Gemini,Gemini-Deep-Research,HEAD,200,1,{}
170,2026-03-31 12:58:40.967209+00,noscript,/test-noscript,Gemini,Google-NotebookLM,HEAD,200,1,{}
171,2026-03-31 12:58:41.281984+00,noscript,/test-noscript,Gemini,NotebookLM,HEAD,200,1,{}
172,2026-03-31 12:58:41.583907+00,noscript,/test-noscript,Gemini,GoogleAgent-Mariner,HEAD,200,1,{}
173,2026-03-31 12:58:41.888199+00,noscript,/test-noscript,Perplexity,PerplexityBot,HEAD,200,1,{}
174,2026-03-31 12:58:42.223203+00,noscript,/test-noscript,Perplexity,Perplexity-User,HEAD,200,1,{}
175,2026-03-31 12:58:42.538322+00,noscript,/test-noscript,CommonCrawl,CCBot,HEAD,200,1,{}
176,2026-03-31 12:58:42.847196+00,noscript,/test-noscript,Applebot,Applebot,HEAD,200,1,{}
177,2026-03-31 12:58:43.152947+00,noscript,/test-noscript,Applebot,Applebot-Extended,HEAD,200,1,{}
178,2026-03-31 12:58:43.48198+00,noscript,/test-noscript,Meta,meta-externalagent,HEAD,200,1,{}
179,2026-03-31 12:58:43.795279+00,noscript,/test-noscript,Meta,Meta-ExternalAgent,HEAD,200,1,{}
180,2026-03-31 12:58:44.210741+00,noscript,/test-noscript,Meta,meta-externalfetcher,HEAD,200,1,{}
181,2026-03-31 12:58:44.521857+00,noscript,/test-noscript,Meta,meta-webindexer,HEAD,200,1,{}
182,2026-03-31 12:58:44.815819+00,noscript,/test-noscript,DeepSeek,DeepSeekBot,HEAD,200,1,{}
183,2026-03-31 12:58:45.176082+00,noscript,/test-noscript,Mistral,MistralAI-User,HEAD,200,1,{}
184,2026-03-31 12:58:45.491217+00,noscript,/test-noscript,DuckDuckGo,DuckAssistBot,HEAD,200,1,{}
185,2026-03-31 12:58:45.811224+00,noscript,/test-noscript,Brave,Bravebot,HEAD,200,1,{}
186,2026-03-31 12:58:46.117747+00,noscript,/test-noscript,You,YouBot,HEAD,200,0,{}
187,2026-03-31 12:58:46.41294+00,noscript,/test-noscript,Cohere,cohere-ai,HEAD,200,1,{}
188,2026-03-31 12:58:46.71323+00,noscript,/test-noscript,ByteDance,Bytespider,HEAD,200,0,{}
189,2026-03-31 12:58:47.061303+00,noscript,/test-noscript,ByteDance,TikTokSpider,HEAD,200,1,{}
190,2026-03-31 12:58:47.364458+00,noscript,/test-noscript,Manus,Manus-User,HEAD,200,0,{}
191,2026-03-31 12:58:47.717297+00,noscript,/test-noscript,Amazon,Amazonbot,HEAD,200,1,{}
192,2026-03-31 12:58:48.743009+00,dsd,/test-dsd,ChatGPT,GPTBot,HEAD,200,40,{}
193,2026-03-31 12:58:49.059514+00,dsd,/test-dsd,ChatGPT,ChatGPT-User,HEAD,200,4,{}
194,2026-03-31 12:58:49.369173+00,dsd,/test-dsd,ChatGPT,OAI-SearchBot,HEAD,200,4,{}
195,2026-03-31 12:58:49.890879+00,dsd,/test-dsd,ChatGPT,ChatGPT Agent,HEAD,200,4,{}
196,2026-03-31 12:58:50.201436+00,dsd,/test-dsd,Claude,ClaudeBot,HEAD,200,2,{}
197,2026-03-31 12:58:50.52737+00,dsd,/test-dsd,Claude,Claude-Web,HEAD,200,3,{}
198,2026-03-31 12:58:50.846041+00,dsd,/test-dsd,Claude,Claude-User,HEAD,200,4,{}
199,2026-03-31 12:58:51.1514+00,dsd,/test-dsd,Claude,Claude-SearchBot,HEAD,200,2,{}
200,2026-03-31 12:58:51.4784+00,dsd,/test-dsd,Claude,anthropic-ai,HEAD,200,3,{}
201,2026-03-31 12:58:51.785394+00,dsd,/test-dsd,Gemini,Google-Extended,HEAD,200,2,{}
202,2026-03-31 12:58:52.074015+00,dsd,/test-dsd,Gemini,Gemini-Deep-Research,HEAD,200,3,{}
203,2026-03-31 12:58:52.369914+00,dsd,/test-dsd,Gemini,Google-NotebookLM,HEAD,200,2,{}
204,2026-03-31 12:58:52.680227+00,dsd,/test-dsd,Gemini,NotebookLM,HEAD,200,2,{}
205,2026-03-31 12:58:52.971556+00,dsd,/test-dsd,Gemini,GoogleAgent-Mariner,HEAD,200,2,{}
206,2026-03-31 12:58:53.294298+00,dsd,/test-dsd,Perplexity,PerplexityBot,HEAD,200,2,{}
207,2026-03-31 12:58:53.611174+00,dsd,/test-dsd,Perplexity,Perplexity-User,HEAD,200,2,{}
208,2026-03-31 12:58:53.922491+00,dsd,/test-dsd,CommonCrawl,CCBot,HEAD,200,2,{}
209,2026-03-31 12:58:54.237431+00,dsd,/test-dsd,Applebot,Applebot,HEAD,200,3,{}
210,2026-03-31 12:58:54.549847+00,dsd,/test-dsd,Applebot,Applebot-Extended,HEAD,200,4,{}
211,2026-03-31 12:58:54.868833+00,dsd,/test-dsd,Meta,meta-externalagent,HEAD,200,3,{}
212,2026-03-31 12:58:55.183173+00,dsd,/test-dsd,Meta,Meta-ExternalAgent,HEAD,200,4,{}
213,2026-03-31 12:58:55.496852+00,dsd,/test-dsd,Meta,meta-externalfetcher,HEAD,200,4,{}
214,2026-03-31 12:58:55.847146+00,dsd,/test-dsd,Meta,meta-webindexer,HEAD,200,3,{}
215,2026-03-31 12:58:56.171425+00,dsd,/test-dsd,DeepSeek,DeepSeekBot,HEAD,200,3,{}
216,2026-03-31 12:58:56.470439+00,dsd,/test-dsd,Mistral,MistralAI-User,HEAD,200,4,{}
217,2026-03-31 12:58:56.780396+00,dsd,/test-dsd,DuckDuckGo,DuckAssistBot,HEAD,200,3,{}
218,2026-03-31 12:58:57.073169+00,dsd,/test-dsd,Brave,Bravebot,HEAD,200,3,{}
219,2026-03-31 12:58:57.379464+00,dsd,/test-dsd,You,YouBot,HEAD,200,5,{}
220,2026-03-31 12:58:57.695703+00,dsd,/test-dsd,Cohere,cohere-ai,HEAD,200,2,{}
221,2026-03-31 12:58:58.000969+00,dsd,/test-dsd,ByteDance,Bytespider,HEAD,200,3,{}
222,2026-03-31 12:58:58.328582+00,dsd,/test-dsd,ByteDance,TikTokSpider,HEAD,200,2,{}
223,2026-03-31 12:58:58.633452+00,dsd,/test-dsd,Manus,Manus-User,HEAD,200,2,{}
224,2026-03-31 12:58:58.937072+00,dsd,/test-dsd,Amazon,Amazonbot,HEAD,200,2,{}
225,2026-03-31 12:58:59.433446+00,microdata,/test-microdata,ChatGPT,GPTBot,HEAD,200,2,{}
